0 -547 -613 -19 -85 1 1 1 1 2 3 
0 180 360 673 853 0 0 0 0 3 5 
0 179 362 185 368 0 0 0 0 5 5 
1 177 356 -296 -117 0 0 1 1 4 1 
0 -773 -594 -769 -590 1 1 1 1 2 0 
0 -1495 -1552 -523 -580 1 1 1 1 1 1 
0 257 432 225 400 0 0 0 0 4 0 
0 243 416 -255 -82 0 0 1 1 1 1 
0 239 410 -734 -563 0 0 1 1 1 3 
1 -734 -562 -726 -554 1 1 1 1 0 3 
0 1210 1295 728 813 0 0 0 0 5 4 
1 1212 1302 240 330 0 0 0 0 3 0 
1 233 329 -249 -153 0 0 1 1 1 3 
0 -744 -645 -250 -151 1 1 1 1 1 1 
1 -1478 -1620 -8 -150 1 1 1 1 3 4 
0 244 356 236 348 0 0 0 0 1 3 
0 253 373 -251 -131 0 0 1 1 2 4 
1 268 387 -731 -612 0 0 1 1 3 5 
0 -698 -672 -235 -209 1 1 1 1 4 3 
1 984 1254 504 774 0 0 0 0 2 4 
0 15 287 19 291 0 0 0 0 2 2 
1 8 283 -470 -195 0 0 1 1 4 4 
0 -721 -688 -231 -198 1 1 1 1 4 1 
0 -1456 -1664 6 -202 1 1 0 1 1 4 
0 227 266 240 279 0 0 0 0 0 2 
0 215 257 -251 -209 0 0 1 1 2 2 
0 202 245 -745 -702 0 0 1 1 5 5 
1 -798 -851 -274 -327 1 1 1 1 5 2 
1 933 1117 455 639 0 0 0 0 2 0 
0 -44 235 -32 247 1 0 1 0 1 1 
0 227 261 -277 -243 0 0 1 1 4 4 
0 -761 -731 -277 -247 1 1 1 1 5 4 
1 -1507 -1725 -33 -251 1 1 1 1 5 3 
0 229 249 237 257 0 0 0 0 5 2 
1 983 1143 -498 -338 0 0 1 1 1 2 
0 4 68 3 67 0 0 0 0 1 3 
0 766 1078 751 1063 0 0 0 0 5 3 
1 -225 91 255 571 1 0 0 0 4 1 
0 14 85 8 79 0 0 0 0 4 1 
0 -978 -901 6 83 1 1 0 0 2 1 
1 -1719 -1888 -241 -410 1 1 1 1 3 0 
0 10 190 8 188 0 0 0 0 1 1 
0 10 189 -485 -306 0 0 1 1 2 0 
1 3 184 -982 -801 0 0 1 1 1 2 
1 -986 -803 -986 -803 1 1 1 1 0 1 
1 -1725 -1787 -739 -801 1 1 1 1 4 3 
0 255 197 249 191 0 0 0 0 2 5 
1 257 204 -245 -298 0 0 1 1 2 4 
1 508 212 -490 -786 0 0 1 1 0 0 
1 -465 -760 -489 -784 1 1 1 1 2 1 
1 -1193 -1633 -237 -677 1 1 1 1 0 3 
0 524 335 511 322 0 0 0 0 1 3 
1 522 337 22 -163 0 0 0 1 4 5 
0 518 338 -467 -647 0 0 1 1 5 1 
1 -459 -636 -469 -646 1 1 1 1 0 0 
0 -1186 -1605 -220 -639 1 1 1 1 4 2 
0 499 327 504 332 0 0 0 0 2 5 
0 492 324 12 -156 0 0 0 1 5 4 
1 479 312 -480 -647 0 0 1 1 2 2 
0 -501 -668 -487 -654 1 1 1 1 3 1 
0 -1237 -1551 -246 -560 1 1 1 1 1 0 
0 459 384 470 395 0 0 0 0 2 0 
0 439 357 -25 -107 0 0 1 1 1 4 
1 170 225 -278 -223 0 0 1 1 3 0 
1 -585 -781 -41 -237 1 1 1 1 2 3 
0 179 219 692 732 0 0 0 0 3 4 
0 196 226 197 227 0 0 0 0 4 4 
1 192 313 -302 -181 0 0 1 1 2 1 
0 -811 -700 -299 -188 1 1 1 1 1 2 
0 -1574 -1616 -50 -92 1 1 1 1 0 4 
1 210 405 218 413 0 0 0 0 2 5 
0 216 405 -281 -92 0 0 1 1 2 4 
0 225 407 -781 -599 0 0 1 1 0 1 
1 -785 -610 -779 -604 1 1 1 1 4 2 
0 -1548 -1624 -526 -602 1 1 1 1 0 4 
1 1270 1961 1782 2473 0 0 0 0 4 1 
1 248 943 1271 1966 0 0 0 0 2 3 
0 -764 -65 764 1463 1 1 0 0 4 5 
1 -1779 -1075 257 961 1 1 0 0 4 2 
0 -2536 -2081 4 459 1 1 0 0 3 2 
0 -757 -42 -762 -47 1 1 1 1 3 3 
0 -768 -49 -1273 -554 1 1 1 1 2 1 
1 -788 -66 -1787 -1065 1 1 1 1 5 4 
1 -1815 -1091 -1787 -1063 1 1 1 1 3 4 
0 -2588 -2115 -1534 -1061 1 1 1 1 2 2 
0 -278 -57 -274 -53 1 1 1 1 0 0 
0 -22 -53 -532 -563 1 1 1 1 3 4 
0 230 -55 -791 -1076 0 1 1 1 4 4 
1 -552 -1091 -540 -1079 1 1 1 1 3 3 
1 -1331 -2124 -287 -1080 1 1 1 1 4 4 
1 482 -53 490 -45 0 1 0 1 0 3 
0 498 -38 -21 -557 0 1 1 1 3 2 
0 510 -28 -532 -1070 0 1 1 1 0 2 
1 -520 -962 -528 -970 1 1 1 1 0 0 
0 -1291 -1989 -268 -966 1 1 1 1 0 2 
0 519 78 519 78 0 0 0 0 0 1 
0 518 78 1 -439 0 0 0 1 1 2 
1 503 64 -518 -957 0 0 1 1 0 0 
